LECROYWS44MXs-B 69584 Waveform
Segments 1 SegmentSize 25002
Segment TrigTime TimeSinceSegment1
#1 19-Jun-2015 14:39:41 0                 
Time Ampl
-7.4001136e-007 1.02725
-7.3981136e-007 1.03057
-7.3961136e-007 1.02393
-7.3941136e-007 1.02393
-7.3921136e-007 1.02061
-7.3901136e-007 1.02061
-7.3881136e-007 1.01397
-7.3861136e-007 1.01397
-7.3841136e-007 1.00068
-7.3821136e-007 1.01065
-7.3801136e-007 1.00068
-7.3781136e-007 1.00733
-7.3761136e-007 1.00068
-7.3741136e-007 1.01065
-7.3721136e-007 1.00733
-7.3701136e-007 1.01397
-7.3681136e-007 1.01397
-7.3661136e-007 1.02393
-7.3641136e-007 1.02061
-7.3621136e-007 1.02725
-7.3601136e-007 1.02725
-7.3581136e-007 1.03057
-7.3561136e-007 1.02725
-7.3541136e-007 1.03057
-7.3521136e-007 1.02725
-7.3501136e-007 1.03057
-7.3481136e-007 1.02725
-7.3461136e-007 1.02725
-7.3441136e-007 1.02061
-7.3421136e-007 1.02061
-7.3401136e-007 1.02061
-7.3381136e-007 1.02061
-7.3361136e-007 1.01729
-7.3341136e-007 1.01729
-7.3321136e-007 1.01065
-7.3301136e-007 1.01397
-7.3281136e-007 1.00733
-7.3261136e-007 1.01397
-7.3241136e-007 1.004
-7.3221136e-007 1.00733
-7.3201136e-007 0.994041
-7.3181136e-007 1.00068
-7.3161136e-007 0.994041
-7.3141136e-007 0.997362
-7.3121136e-007 0.997362
-7.3101136e-007 1.00068
-7.3081136e-007 0.997362
-7.3061136e-007 1.00068
-7.3041136e-007 1.00068
-7.3021136e-007 1.01729
-7.3001136e-007 1.01397
-7.2981136e-007 1.02725
-7.2961136e-007 1.02393
-7.2941136e-007 1.04053
-7.2921136e-007 1.03721
-7.2901136e-007 1.04386
-7.2881136e-007 1.04718
-7.2861136e-007 1.04386
-7.2841136e-007 1.04386
-7.2821136e-007 1.04053
-7.2801136e-007 1.03389
-7.2781136e-007 1.02725
-7.2761136e-007 1.02393
-7.2741136e-007 1.01729
-7.2721136e-007 1.01065
-7.2701136e-007 1.00733
-7.2681136e-007 1.00068
-7.2661136e-007 1.00733
-7.2641136e-007 0.997362
-7.2621136e-007 1.00733
-7.2601136e-007 1.004
-7.2581136e-007 1.01397
-7.2561136e-007 1.00733
-7.2541136e-007 1.01397
-7.2521136e-007 1.01729
-7.2501136e-007 1.02393
-7.2481136e-007 1.02061
-7.2461136e-007 1.01729
-7.2441136e-007 1.01729
-7.2421136e-007 1.02061
-7.2401136e-007 1.01065
-7.2381136e-007 1.01729
-7.2361136e-007 1.01065
-7.2341136e-007 1.01065
-7.2321136e-007 1.00733
-7.2301136e-007 1.01397
-7.2281136e-007 1.00733
-7.2261136e-007 1.01065
-7.2241136e-007 1.00733
-7.2221136e-007 1.01397
-7.2201136e-007 1.004
-7.2181136e-007 1.01065
-7.2161136e-007 1.01065
-7.2141136e-007 1.01729
-7.2121136e-007 1.01397
-7.2101136e-007 1.01729
-7.2081136e-007 1.02061
-7.2061136e-007 1.02393
-7.2041136e-007 1.02725
-7.2021136e-007 1.03057
-7.2001136e-007 1.03057
-7.1981136e-007 1.03389
-7.1961136e-007 1.03389
-7.1941136e-007 1.04053
-7.1921136e-007 1.03057
-7.1901136e-007 1.03057
-7.1881136e-007 1.02393
-7.1861136e-007 1.02393
-7.1841136e-007 1.01397
-7.1821136e-007 1.01397
-7.1801136e-007 1.00068
-7.1781136e-007 1.004
-7.1761136e-007 0.997362
-7.1741136e-007 0.994041
-7.1721136e-007 0.984079
-7.1701136e-007 0.990721
-7.1681136e-007 0.984079
-7.1661136e-007 0.994041
-7.1641136e-007 0.994041
-7.1621136e-007 1.00068
-7.1601136e-007 1.00068
-7.1581136e-007 1.01397
-7.1561136e-007 1.01397
-7.1541136e-007 1.02725
-7.1521136e-007 1.02725
-7.1501136e-007 1.03389
-7.1481136e-007 1.03057
-7.1461136e-007 1.03389
-7.1441136e-007 1.03057
-7.1421136e-007 1.03389
-7.1401136e-007 1.02725
-7.1381136e-007 1.02725
-7.1361136e-007 1.02061
-7.1341136e-007 1.02061
-7.1321136e-007 1.01729
-7.1301136e-007 1.02061
-7.1281136e-007 1.01729
-7.1261136e-007 1.01729
-7.1241136e-007 1.01065
-7.1221136e-007 1.02061
-7.1201136e-007 1.02061
-7.1181136e-007 1.02725
-7.1161136e-007 1.02725
-7.1141136e-007 1.03057
-7.1121136e-007 1.02725
-7.1101136e-007 1.03057
-7.1081136e-007 1.03057
-7.1061136e-007 1.03389
-7.1041136e-007 1.03057
-7.1021136e-007 1.03389
-7.1001136e-007 1.03057
-7.0981136e-007 1.03057
-7.0961136e-007 1.02725
-7.0941136e-007 1.02725
-7.0921136e-007 1.01397
-7.0901136e-007 1.01729
-7.0881136e-007 1.00068
-7.0861136e-007 0.994041
-7.0841136e-007 0.980758
-7.0821136e-007 0.974116
-7.0801136e-007 0.967474
-7.0781136e-007 0.970795
-7.0761136e-007 0.964153
-7.0741136e-007 0.974116
-7.0721136e-007 0.974116
-7.0701136e-007 0.997362
-7.0681136e-007 1.00733
-7.0661136e-007 1.02393
-7.0641136e-007 1.03057
-7.0621136e-007 1.04053
-7.0601136e-007 1.04053
-7.0581136e-007 1.05382
-7.0561136e-007 1.0505
-7.0541136e-007 1.05714
-7.0521136e-007 1.04386
-7.0501136e-007 1.04386
-7.0481136e-007 1.03389
-7.0461136e-007 1.03389
-7.0441136e-007 1.02725
-7.0421136e-007 1.02061
-7.0401136e-007 1.02061
-7.0381136e-007 1.01729
-7.0361136e-007 1.01065
-7.0341136e-007 1.01729
-7.0321136e-007 1.01729
-7.0301136e-007 1.02061
-7.0281136e-007 1.01729
-7.0261136e-007 1.02061
-7.0241136e-007 1.02061
-7.0221136e-007 1.02725
-7.0201136e-007 1.01729
-7.0181136e-007 1.02393
-7.0161136e-007 1.02061
-7.0141136e-007 1.02393
-7.0121136e-007 1.01729
-7.0101136e-007 1.01729
-7.0081136e-007 1.01729
-7.0061136e-007 1.02061
-7.0041136e-007 1.01397
-7.0021136e-007 1.02061
-7.0001136e-007 1.02061
-6.9981136e-007 1.02725
-6.9961136e-007 1.02725
-6.9941136e-007 1.02725
-6.9921136e-007 1.02393
-6.9901136e-007 1.02725
-6.9881136e-007 1.01397
-6.9861136e-007 1.01397
-6.9841136e-007 1.004
-6.9821136e-007 1.00733
-6.9801136e-007 0.994041
-6.9781136e-007 1.004
-6.9761136e-007 1.00068
-6.9741136e-007 1.01065
-6.9721136e-007 1.01065
-6.9701136e-007 1.02725
-6.9681136e-007 1.03389
-6.9661136e-007 1.04386
-6.9641136e-007 1.04386
-6.9621136e-007 1.05714
-6.9601136e-007 1.04718
-6.9581136e-007 1.0505
-6.9561136e-007 1.04386
-6.9541136e-007 1.03721
-6.9521136e-007 1.02725
-6.9501136e-007 1.02061
-6.9481136e-007 1.01065
