LECROYWS44MXs-B 69584 Waveform
Segments 1 SegmentSize 1002
Segment TrigTime TimeSinceSegment1
#1 23-Jun-2015 21:06:22 0                 
Time Ampl
-5.17756e-008 1.65042
-5.15756e-008 1.65042
-5.13756e-008 1.65042
-5.11756e-008 1.65042
-5.09756e-008 1.65042
-5.07756e-008 1.6471
-5.05756e-008 1.6471
-5.03756e-008 1.64378
-5.01756e-008 1.64046
-4.99756e-008 1.64046
-4.97756e-008 1.64378
-4.95756e-008 1.64378
-4.93756e-008 1.6471
-4.91756e-008 1.64046
-4.89756e-008 1.6471
-4.87756e-008 1.64378
-4.85756e-008 1.64378
-4.83756e-008 1.6471
-4.81756e-008 1.6471
-4.79756e-008 1.65042
-4.77756e-008 1.65042
-4.75756e-008 1.6471
-4.73756e-008 1.6471
-4.71756e-008 1.64046
-4.69756e-008 1.6471
-4.67756e-008 1.64378
-4.65756e-008 1.65042
-4.63756e-008 1.64378
-4.61756e-008 1.64378
-4.59756e-008 1.64378
-4.57756e-008 1.6471
-4.55756e-008 1.6471
-4.53756e-008 1.6471
-4.51756e-008 1.6471
-4.49756e-008 1.6471
-4.47756e-008 1.64378
-4.45756e-008 1.6471
-4.43756e-008 1.6471
-4.41756e-008 1.6471
-4.39756e-008 1.65374
-4.37756e-008 1.65374
-4.35756e-008 1.6471
-4.33756e-008 1.6471
-4.31756e-008 1.64378
-4.29756e-008 1.65042
-4.27756e-008 1.6471
-4.25756e-008 1.6471
-4.23756e-008 1.65042
-4.21756e-008 1.6471
-4.19756e-008 1.6471
-4.17756e-008 1.6471
-4.15756e-008 1.64046
-4.13756e-008 1.6471
-4.11756e-008 1.64378
-4.09756e-008 1.6471
-4.07756e-008 1.65042
-4.05756e-008 1.6471
-4.03756e-008 1.65042
-4.01756e-008 1.6471
-3.99756e-008 1.6471
-3.97756e-008 1.65374
-3.95756e-008 1.65374
-3.93756e-008 1.65042
-3.91756e-008 1.65042
-3.89756e-008 1.65042
-3.87756e-008 1.6471
-3.85756e-008 1.65042
-3.83756e-008 1.65042
-3.81756e-008 1.6471
-3.79756e-008 1.65042
-3.77756e-008 1.65042
-3.75756e-008 1.6471
-3.73756e-008 1.6471
-3.71756e-008 1.64378
-3.69756e-008 1.6471
-3.67756e-008 1.6471
-3.65756e-008 1.65042
-3.63756e-008 1.6471
-3.61756e-008 1.65042
-3.59756e-008 1.64378
-3.57756e-008 1.6471
-3.55756e-008 1.65042
-3.53756e-008 1.6471
-3.51756e-008 1.65042
-3.49756e-008 1.65042
-3.47756e-008 1.65042
-3.45756e-008 1.64378
-3.43756e-008 1.64378
-3.41756e-008 1.6471
-3.39756e-008 1.64378
-3.37756e-008 1.6471
-3.35756e-008 1.65374
-3.33756e-008 1.6471
-3.31756e-008 1.65042
-3.29756e-008 1.6471
-3.27756e-008 1.6471
-3.25756e-008 1.65042
-3.23756e-008 1.65042
-3.21756e-008 1.65042
-3.19756e-008 1.65042
-3.17756e-008 1.65042
-3.15756e-008 1.6471
-3.13756e-008 1.6471
-3.11756e-008 1.64378
-3.09756e-008 1.6471
-3.07756e-008 1.6471
-3.05756e-008 1.65042
-3.03756e-008 1.64378
-3.01756e-008 1.6471
-2.99756e-008 1.6471
-2.97756e-008 1.6471
-2.95756e-008 1.6471
-2.93756e-008 1.6471
-2.91756e-008 1.6471
-2.89756e-008 1.65042
-2.87756e-008 1.6471
-2.85756e-008 1.65042
-2.83756e-008 1.65042
-2.81756e-008 1.65042
-2.79756e-008 1.65042
-2.77756e-008 1.65042
-2.75756e-008 1.6471
-2.73756e-008 1.65042
-2.71756e-008 1.6471
-2.69756e-008 1.6471
-2.67756e-008 1.64378
-2.65756e-008 1.6471
-2.63756e-008 1.6471
-2.61756e-008 1.6471
-2.59756e-008 1.65042
-2.57756e-008 1.6471
-2.55756e-008 1.65042
-2.53756e-008 1.65042
-2.51756e-008 1.65042
-2.49756e-008 1.65042
-2.47756e-008 1.6471
-2.45756e-008 1.6471
-2.43756e-008 1.64378
-2.41756e-008 1.6471
-2.39756e-008 1.6471
-2.37756e-008 1.65042
-2.35756e-008 1.6471
-2.33756e-008 1.6471
-2.31756e-008 1.6471
-2.29756e-008 1.65042
-2.27756e-008 1.6471
-2.25756e-008 1.6471
-2.23756e-008 1.6471
-2.21756e-008 1.65042
-2.19756e-008 1.65042
-2.17756e-008 1.65374
-2.15756e-008 1.65042
-2.13756e-008 1.65042
-2.11756e-008 1.64378
-2.09756e-008 1.65374
-2.07756e-008 1.6471
-2.05756e-008 1.64378
-2.03756e-008 1.6471
-2.01756e-008 1.65042
-1.99756e-008 1.6471
-1.97756e-008 1.6471
-1.95756e-008 1.64378
-1.93756e-008 1.6471
-1.91756e-008 1.65042
-1.89756e-008 1.6471
-1.87756e-008 1.65042
-1.85756e-008 1.65374
-1.83756e-008 1.65042
-1.81756e-008 1.6471
-1.79756e-008 1.6471
-1.77756e-008 1.65042
-1.75756e-008 1.6471
-1.73756e-008 1.65042
-1.71756e-008 1.65374
-1.69756e-008 1.65374
-1.67756e-008 1.65042
-1.65756e-008 1.65042
-1.63756e-008 1.64378
-1.61756e-008 1.65042
-1.59756e-008 1.64046
-1.57756e-008 1.65042
-1.55756e-008 1.64378
-1.53756e-008 1.64378
-1.51756e-008 1.64046
-1.49756e-008 1.64378
-1.47756e-008 1.64378
-1.45756e-008 1.6471
-1.43756e-008 1.64378
-1.41756e-008 1.6471
-1.39756e-008 1.64378
-1.37756e-008 1.6471
-1.35756e-008 1.65042
-1.33756e-008 1.6471
-1.31756e-008 1.64378
-1.29756e-008 1.65042
-1.27756e-008 1.6471
-1.25756e-008 1.64378
-1.23756e-008 1.6471
-1.21756e-008 1.6471
-1.19756e-008 1.6471
-1.17756e-008 1.65042
-1.15756e-008 1.6471
-1.13756e-008 1.65042
-1.11756e-008 1.65042
-1.09756e-008 1.65042
-1.07756e-008 1.6471
-1.05756e-008 1.64378
-1.03756e-008 1.6471
-1.01756e-008 1.6471
-9.97556e-009 1.6471
-9.77556e-009 1.6471
-9.57556e-009 1.64378
-9.37556e-009 1.65042
-9.17556e-009 1.65042
-8.97556e-009 1.65042
-8.77556e-009 1.6471
-8.57556e-009 1.65042
-8.37556e-009 1.6471
-8.17556e-009 1.6471
-7.97556e-009 1.6471
-7.77556e-009 1.65374
-7.57556e-009 1.65042
-7.37556e-009 1.6471
-7.17556e-009 1.6471
-6.97556e-009 1.6471
-6.77556e-009 1.6471
-6.57556e-009 1.65374
-6.37556e-009 1.65042
-6.17556e-009 1.65042
-5.97556e-009 1.65042
-5.77556e-009 1.65706
-5.57556e-009 1.65374
-5.37556e-009 1.65706
-5.17556e-009 1.66039
-4.97556e-009 1.66039
-4.77556e-009 1.66371
-4.57556e-009 1.66371
-4.37556e-009 1.67035
-4.17556e-009 1.67035
-3.97556e-009 1.67367
-3.77556e-009 1.67699
-3.57556e-009 1.68031
-3.37556e-009 1.68695
-3.17556e-009 1.69027
-2.97556e-009 1.70024
-2.77556e-009 1.70024
-2.57556e-009 1.70688
-2.37556e-009 1.71352
-2.17556e-009 1.72348
-1.97556e-009 1.73013
-1.77556e-009 1.74009
-1.57556e-009 1.74341
-1.37556e-009 1.75337
-1.17556e-009 1.76333
-9.75558e-010 1.7733
-7.75558e-010 1.78326
-5.75558e-010 1.7899
-3.75558e-010 1.80319
-1.75558e-010 1.80983
2.44424e-011 1.82643
2.24442e-010 1.82643
4.24442e-010 1.84304
6.24442e-010 1.84968
8.24442e-010 1.85964
1.02444e-009 1.8696
1.22444e-009 1.87957
1.42444e-009 1.88953
1.62444e-009 1.89285
1.82444e-009 1.90281
2.02444e-009 1.9161
2.22444e-009 1.92606
2.42444e-009 1.9327
2.62444e-009 1.93602
2.82444e-009 1.95263
3.02444e-009 1.95927
3.22444e-009 1.96923
3.42444e-009 1.97587
3.62444e-009 1.98252
3.82444e-009 1.98584
4.02444e-009 1.9958
4.22444e-009 1.9958
4.42444e-009 2.00244
4.62444e-009 2.00244
4.82444e-009 2.00908
5.02444e-009 2.0124
5.22444e-009 2.01573
5.42444e-009 2.01905
5.62444e-009 2.02237
5.82444e-009 2.02237
6.02444e-009 2.02237
6.22444e-009 2.02569
6.42444e-009 2.03233
6.62444e-009 2.02901
6.82444e-009 2.02901
7.02444e-009 2.02901
7.22444e-009 2.03233
7.42444e-009 2.03233
7.62444e-009 2.03233
7.82444e-009 2.03233
8.02444e-009 2.03233
8.22444e-009 2.02901
8.42444e-009 2.02237
8.62444e-009 2.02237
8.82444e-009 2.02237
9.02444e-009 2.01573
9.22444e-009 2.01573
9.42444e-009 2.00908
9.62444e-009 2.00908
9.82444e-009 2.00576
1.00244e-008 1.99912
1.02244e-008 1.99248
1.04244e-008 1.9958
1.06244e-008 1.98584
1.08244e-008 1.98252
1.10244e-008 1.97587
1.12244e-008 1.96923
1.14244e-008 1.96259
1.16244e-008 1.96259
1.18244e-008 1.95595
1.20244e-008 1.94931
1.22244e-008 1.94599
1.24244e-008 1.93934
1.26244e-008 1.9327
1.28244e-008 1.92938
1.30244e-008 1.92274
1.32244e-008 1.91942
1.34244e-008 1.91278
1.36244e-008 1.90613
1.38244e-008 1.89617
1.40244e-008 1.89285
1.42244e-008 1.88621
1.44244e-008 1.87957
1.46244e-008 1.87625
1.48244e-008 1.8696
1.50244e-008 1.86628
1.52244e-008 1.86296
1.54244e-008 1.853
1.56244e-008 1.84968
1.58244e-008 1.84636
1.60244e-008 1.8364
1.62244e-008 1.8364
1.64244e-008 1.82975
1.66244e-008 1.82643
1.68244e-008 1.81979
1.70244e-008 1.81647
1.72244e-008 1.80983
1.74244e-008 1.80319
1.76244e-008 1.7899
1.78244e-008 1.7899
1.80244e-008 1.78326
1.82244e-008 1.77994
1.84244e-008 1.76998
1.86244e-008 1.76666
1.88244e-008 1.76333
1.90244e-008 1.76333
1.92244e-008 1.75669
1.94244e-008 1.75669
1.96244e-008 1.75005
1.98244e-008 1.74341
2.00244e-008 1.74341
2.02244e-008 1.74009
2.04244e-008 1.73345
2.06244e-008 1.73013
2.08244e-008 1.7268
2.10244e-008 1.7268
2.12244e-008 1.72016
2.14244e-008 1.71684
2.16244e-008 1.70688
2.18244e-008 1.70356
2.20244e-008 1.70356
2.22244e-008 1.70356
2.24244e-008 1.69692
2.26244e-008 1.69027
2.28244e-008 1.68695
2.30244e-008 1.68363
2.32244e-008 1.68363
2.34244e-008 1.67367
2.36244e-008 1.67367
2.38244e-008 1.67035
2.40244e-008 1.67035
2.42244e-008 1.67035
2.44244e-008 1.66703
2.46244e-008 1.66703
2.48244e-008 1.66039
2.50244e-008 1.66039
2.52244e-008 1.66039
2.54244e-008 1.65706
2.56244e-008 1.65706
2.58244e-008 1.65042
2.60244e-008 1.6471
2.62244e-008 1.64378
2.64244e-008 1.64378
2.66244e-008 1.64378
2.68244e-008 1.64378
2.70244e-008 1.64046
2.72244e-008 1.63714
2.74244e-008 1.63714
2.76244e-008 1.63382
2.78244e-008 1.63382
2.80244e-008 1.63714
2.82244e-008 1.6305
2.84244e-008 1.62386
2.86244e-008 1.6305
2.88244e-008 1.62718
2.90244e-008 1.62718
2.92244e-008 1.62386
2.94244e-008 1.62386
2.96244e-008 1.62053
2.98244e-008 1.62053
3.00244e-008 1.62386
3.02244e-008 1.62386
3.04244e-008 1.61721
3.06244e-008 1.61721
3.08244e-008 1.62053
3.10244e-008 1.61721
3.12244e-008 1.61721
