LECROYWS44MXs-B 69584 Waveform
Segments 1 SegmentSize 10002
Segment TrigTime TimeSinceSegment1
#1 23-Jun-2015 16:43:28 0                 
Time Ampl
-1.641988e-007 1.00779
-1.639988e-007 1.00779
-1.637988e-007 1.00114
-1.635988e-007 0.994502
-1.633988e-007 0.994502
-1.631988e-007 0.994502
-1.629988e-007 1.00114
-1.627988e-007 1.00114
-1.625988e-007 1.00779
-1.623988e-007 1.00779
-1.621988e-007 1.01443
-1.619988e-007 1.02107
-1.617988e-007 1.02107
-1.615988e-007 1.02771
-1.613988e-007 1.04099
-1.611988e-007 1.04099
-1.609988e-007 1.04099
-1.607988e-007 1.04099
-1.605988e-007 1.04764
-1.603988e-007 1.04764
-1.601988e-007 1.04764
-1.599988e-007 1.04099
-1.597988e-007 1.04099
-1.595988e-007 1.03435
-1.593988e-007 1.03435
-1.591988e-007 1.02771
-1.589988e-007 1.02771
-1.587988e-007 1.02771
-1.585988e-007 1.03435
-1.583988e-007 1.03435
-1.581988e-007 1.03435
-1.579988e-007 1.04764
-1.577988e-007 1.04764
-1.575988e-007 1.05428
-1.573988e-007 1.04764
-1.571988e-007 1.06092
-1.569988e-007 1.04764
-1.567988e-007 1.06092
-1.565988e-007 1.04764
-1.563988e-007 1.04764
-1.561988e-007 1.02771
-1.559988e-007 1.02771
-1.557988e-007 1.01443
-1.555988e-007 1.00779
-1.553988e-007 1.01443
-1.551988e-007 1.00114
-1.549988e-007 0.994502
-1.547988e-007 0.994502
-1.545988e-007 0.994502
-1.543988e-007 0.994502
-1.541988e-007 0.98786
-1.539988e-007 0.994502
-1.537988e-007 1.00114
-1.535988e-007 1.00114
-1.533988e-007 1.02107
-1.531988e-007 1.02107
-1.529988e-007 1.02771
-1.527988e-007 1.04099
-1.525988e-007 1.04099
-1.523988e-007 1.05428
-1.521988e-007 1.06092
-1.519988e-007 1.06756
-1.517988e-007 1.0742
-1.515988e-007 1.0742
-1.513988e-007 1.0742
-1.511988e-007 1.0742
-1.509988e-007 1.06756
-1.507988e-007 1.06092
-1.505988e-007 1.04764
-1.503988e-007 1.05428
-1.501988e-007 1.04764
-1.499988e-007 1.03435
-1.497988e-007 1.03435
-1.495988e-007 1.02771
-1.493988e-007 1.02107
-1.491988e-007 1.02771
-1.489988e-007 1.02107
-1.487988e-007 1.01443
-1.485988e-007 1.02107
-1.483988e-007 1.02107
-1.481988e-007 1.02107
-1.479988e-007 1.02107
-1.477988e-007 1.02107
-1.475988e-007 1.02107
-1.473988e-007 1.02107
-1.471988e-007 1.02771
-1.469988e-007 1.02771
-1.467988e-007 1.01443
-1.465988e-007 1.02107
-1.463988e-007 1.02107
-1.461988e-007 1.02107
-1.459988e-007 1.01443
-1.457988e-007 1.02107
-1.455988e-007 1.02107
-1.453988e-007 1.02107
-1.451988e-007 1.01443
-1.449988e-007 1.01443
-1.447988e-007 1.02107
-1.445988e-007 1.02107
-1.443988e-007 1.01443
-1.441988e-007 1.02107
-1.439988e-007 1.02107
-1.437988e-007 1.02771
-1.435988e-007 1.04099
-1.433988e-007 1.03435
-1.431988e-007 1.04099
-1.429988e-007 1.04099
-1.427988e-007 1.05428
-1.425988e-007 1.05428
-1.423988e-007 1.06092
-1.421988e-007 1.06756
-1.419988e-007 1.05428
-1.417988e-007 1.04764
-1.415988e-007 1.05428
-1.413988e-007 1.04764
-1.411988e-007 1.04099
-1.409988e-007 1.04099
-1.407988e-007 1.04099
-1.405988e-007 1.02771
-1.403988e-007 1.02771
-1.401988e-007 1.02107
-1.399988e-007 1.02107
-1.397988e-007 1.00779
-1.395988e-007 1.01443
-1.393988e-007 1.00779
-1.391988e-007 1.00779
-1.389988e-007 1.01443
