LECROYWS44MXs-B 69584 Waveform
Segments 1 SegmentSize 10002
Segment TrigTime TimeSinceSegment1
#1 23-Jun-2015 16:27:04 0                 
Time Ampl
-1.641882e-007 1.02107
-1.639882e-007 1.01443
-1.637882e-007 1.00779
-1.635882e-007 1.00114
-1.633882e-007 0.994502
-1.631882e-007 0.994502
-1.629882e-007 0.98786
-1.627882e-007 0.994502
-1.625882e-007 0.98786
-1.623882e-007 0.994502
-1.621882e-007 1.00779
-1.619882e-007 1.02107
-1.617882e-007 1.02771
-1.615882e-007 1.04099
-1.613882e-007 1.04764
-1.611882e-007 1.06092
-1.609882e-007 1.06756
-1.607882e-007 1.06092
-1.605882e-007 1.06092
-1.603882e-007 1.04764
-1.601882e-007 1.04764
-1.599882e-007 1.02771
-1.597882e-007 1.02771
-1.595882e-007 1.01443
-1.593882e-007 1.00779
-1.591882e-007 1.00779
-1.589882e-007 1.00779
-1.587882e-007 1.01443
-1.585882e-007 1.02107
-1.583882e-007 1.02107
-1.581882e-007 1.02107
-1.579882e-007 1.04099
-1.577882e-007 1.03435
-1.575882e-007 1.03435
-1.573882e-007 1.03435
-1.571882e-007 1.03435
-1.569882e-007 1.02107
-1.567882e-007 1.02771
-1.565882e-007 1.02107
-1.563882e-007 1.02107
-1.561882e-007 1.00779
-1.559882e-007 1.02107
-1.557882e-007 1.02107
-1.555882e-007 1.02771
-1.553882e-007 1.02771
-1.551882e-007 1.03435
-1.549882e-007 1.03435
-1.547882e-007 1.04099
-1.545882e-007 1.04099
-1.543882e-007 1.04764
-1.541882e-007 1.04099
-1.539882e-007 1.03435
-1.537882e-007 1.02771
-1.535882e-007 1.02771
-1.533882e-007 1.02107
-1.531882e-007 1.02107
-1.529882e-007 1.02107
-1.527882e-007 1.02771
-1.525882e-007 1.02771
-1.523882e-007 1.03435
-1.521882e-007 1.04764
-1.519882e-007 1.04764
-1.517882e-007 1.04764
-1.515882e-007 1.04764
-1.513882e-007 1.05428
-1.511882e-007 1.04764
-1.509882e-007 1.04764
-1.507882e-007 1.04099
