LECROYWS44MXs-B 69584 Waveform
Segments 1 SegmentSize 10002
Segment TrigTime TimeSinceSegment1
#1 23-Jun-2015 16:17:44 0                 
Time Ampl
-1.640698e-007 1.02107
-1.638698e-007 1.02107
-1.636698e-007 1.02107
-1.634698e-007 1.02107
-1.632698e-007 1.02771
-1.630698e-007 1.02771
-1.628698e-007 1.02771
-1.626698e-007 1.02771
-1.624698e-007 1.02771
-1.622698e-007 1.03435
-1.620698e-007 1.03435
-1.618698e-007 1.04099
-1.616698e-007 1.04099
-1.614698e-007 1.03435
-1.612698e-007 1.03435
-1.610698e-007 1.02771
-1.608698e-007 1.03435
-1.606698e-007 1.03435
-1.604698e-007 1.02771
-1.602698e-007 1.02771
-1.600698e-007 1.02771
-1.598698e-007 1.03435
-1.596698e-007 1.02771
-1.594698e-007 1.02107
-1.592698e-007 1.02107
-1.590698e-007 1.02771
-1.588698e-007 1.03435
-1.586698e-007 1.04099
-1.584698e-007 1.04099
-1.582698e-007 1.04764
-1.580698e-007 1.03435
-1.578698e-007 1.04764
-1.576698e-007 1.04099
-1.574698e-007 1.04099
-1.572698e-007 1.04099
-1.570698e-007 1.04764
-1.568698e-007 1.04099
-1.566698e-007 1.04099
-1.564698e-007 1.03435
-1.562698e-007 1.02771
-1.560698e-007 1.02107
-1.558698e-007 1.02107
-1.556698e-007 1.01443
-1.554698e-007 1.02107
-1.552698e-007 1.01443
-1.550698e-007 1.01443
-1.548698e-007 1.02107
-1.546698e-007 1.02107
-1.544698e-007 1.02107
-1.542698e-007 1.02107
-1.540698e-007 1.02771
-1.538698e-007 1.02771
-1.536698e-007 1.03435
-1.534698e-007 1.02771
-1.532698e-007 1.02771
-1.530698e-007 1.03435
-1.528698e-007 1.03435
-1.526698e-007 1.03435
-1.524698e-007 1.04099
-1.522698e-007 1.04099
-1.520698e-007 1.04099
-1.518698e-007 1.04099
-1.516698e-007 1.04099
-1.514698e-007 1.04099
-1.512698e-007 1.04099
-1.510698e-007 1.03435
-1.508698e-007 1.03435
-1.506698e-007 1.03435
-1.504698e-007 1.03435
-1.502698e-007 1.02771
-1.500698e-007 1.03435
-1.498698e-007 1.02771
-1.496698e-007 1.03435
-1.494698e-007 1.02771
-1.492698e-007 1.03435
-1.490698e-007 1.04764
-1.488698e-007 1.04099
-1.486698e-007 1.04099
-1.484698e-007 1.03435
-1.482698e-007 1.04099
-1.480698e-007 1.02771
-1.478698e-007 1.02771
-1.476698e-007 1.02771
-1.474698e-007 1.02107
-1.472698e-007 1.01443
-1.470698e-007 1.01443
-1.468698e-007 1.02771
-1.466698e-007 1.02107
-1.464698e-007 1.02107
-1.462698e-007 1.02771
-1.460698e-007 1.02771
-1.458698e-007 1.03435
-1.456698e-007 1.03435
-1.454698e-007 1.02771
-1.452698e-007 1.02771
-1.450698e-007 1.02771
-1.448698e-007 1.02771
-1.446698e-007 1.03435
-1.444698e-007 1.02771
-1.442698e-007 1.02771
-1.440698e-007 1.02107
-1.438698e-007 1.02771
-1.436698e-007 1.02107
-1.434698e-007 1.02771
-1.432698e-007 1.03435
-1.430698e-007 1.04099
-1.428698e-007 1.04099
-1.426698e-007 1.04764
-1.424698e-007 1.04764
-1.422698e-007 1.04764
-1.420698e-007 1.03435
-1.418698e-007 1.04099
-1.416698e-007 1.02771
-1.414698e-007 1.02771
-1.412698e-007 1.02107
-1.410698e-007 1.03435
-1.408698e-007 1.02771
-1.406698e-007 1.02771
-1.404698e-007 1.02771
-1.402698e-007 1.02771
-1.400698e-007 1.03435
-1.398698e-007 1.02771
-1.396698e-007 1.02771
-1.394698e-007 1.03435
-1.392698e-007 1.02771
-1.390698e-007 1.02771
-1.388698e-007 1.02771
-1.386698e-007 1.02107
-1.384698e-007 1.02771
-1.382698e-007 1.02771
-1.380698e-007 1.02771
-1.378698e-007 1.02771
-1.376698e-007 1.02107
-1.374698e-007 1.03435
-1.372698e-007 1.03435
-1.370698e-007 1.04099
-1.368698e-007 1.04099
-1.366698e-007 1.04764
-1.364698e-007 1.04099
-1.362698e-007 1.05428
-1.360698e-007 1.04764
-1.358698e-007 1.05428
-1.356698e-007 1.04764
-1.354698e-007 1.04764
-1.352698e-007 1.04099
-1.350698e-007 1.03435
-1.348698e-007 1.02771
-1.346698e-007 1.02107
-1.344698e-007 1.01443
-1.342698e-007 1.00114
-1.340698e-007 1.00114
-1.338698e-007 0.994502
-1.336698e-007 0.994502
-1.334698e-007 0.994502
-1.332698e-007 0.994502
-1.330698e-007 0.994502
-1.328698e-007 1.00779
-1.326698e-007 1.01443
-1.324698e-007 1.02107
-1.322698e-007 1.02107
-1.320698e-007 1.03435
-1.318698e-007 1.04764
-1.316698e-007 1.05428
-1.314698e-007 1.06092
-1.312698e-007 1.06756
-1.310698e-007 1.06092
-1.308698e-007 1.06092
-1.306698e-007 1.0742
-1.304698e-007 1.06756
-1.302698e-007 1.0742
-1.300698e-007 1.06756
-1.298698e-007 1.06092
-1.296698e-007 1.06756
-1.294698e-007 1.06092
-1.292698e-007 1.05428
-1.290698e-007 1.05428
-1.288698e-007 1.04764
-1.286698e-007 1.04099
-1.284698e-007 1.03435
-1.282698e-007 1.02107
