LECROYWS44MXs-B 69584 Waveform
Segments 1 SegmentSize 1002
Segment TrigTime TimeSinceSegment1
#1 06-Jul-2015 14:30:03 0                 
Time Ampl
-4.32552e-008 0.758223
-4.30552e-008 0.758223
-4.28552e-008 0.758223
-4.26552e-008 0.758223
-4.24552e-008 0.758223
-4.22552e-008 0.754902
-4.20552e-008 0.758223
-4.18552e-008 0.758223
-4.16552e-008 0.754902
-4.14552e-008 0.754902
-4.12552e-008 0.758223
-4.10552e-008 0.754902
-4.08552e-008 0.754902
-4.06552e-008 0.754902
-4.04552e-008 0.754902
-4.02552e-008 0.754902
-4.00552e-008 0.758223
-3.98552e-008 0.758223
-3.96552e-008 0.751581
-3.94552e-008 0.751581
-3.92552e-008 0.754902
-3.90552e-008 0.751581
-3.88552e-008 0.754902
-3.86552e-008 0.751581
-3.84552e-008 0.758223
-3.82552e-008 0.754902
-3.80552e-008 0.754902
-3.78552e-008 0.754902
-3.76552e-008 0.758223
-3.74552e-008 0.758223
-3.72552e-008 0.754902
-3.70552e-008 0.758223
-3.68552e-008 0.758223
-3.66552e-008 0.758223
-3.64552e-008 0.761544
-3.62552e-008 0.754902
-3.60552e-008 0.758223
-3.58552e-008 0.751581
-3.56552e-008 0.761544
-3.54552e-008 0.754902
-3.52552e-008 0.758223
-3.50552e-008 0.754902
-3.48552e-008 0.761544
-3.46552e-008 0.754902
-3.44552e-008 0.761544
-3.42552e-008 0.758223
-3.40552e-008 0.761544
-3.38552e-008 0.761544
-3.36552e-008 0.758223
-3.34552e-008 0.758223
-3.32552e-008 0.758223
-3.30552e-008 0.754902
-3.28552e-008 0.754902
-3.26552e-008 0.754902
-3.24552e-008 0.754902
-3.22552e-008 0.754902
-3.20552e-008 0.754902
-3.18552e-008 0.754902
-3.16552e-008 0.758223
-3.14552e-008 0.751581
-3.12552e-008 0.761544
-3.10552e-008 0.754902
-3.08552e-008 0.754902
-3.06552e-008 0.758223
-3.04552e-008 0.758223
-3.02552e-008 0.758223
-3.00552e-008 0.758223
-2.98552e-008 0.754902
-2.96552e-008 0.761544
-2.94552e-008 0.758223
-2.92552e-008 0.758223
-2.90552e-008 0.758223
-2.88552e-008 0.758223
-2.86552e-008 0.758223
-2.84552e-008 0.758223
-2.82552e-008 0.758223
-2.80552e-008 0.758223
-2.78552e-008 0.754902
-2.76552e-008 0.758223
-2.74552e-008 0.754902
-2.72552e-008 0.754902
-2.70552e-008 0.754902
-2.68552e-008 0.758223
-2.66552e-008 0.751581
-2.64552e-008 0.758223
-2.62552e-008 0.754902
-2.60552e-008 0.761544
-2.58552e-008 0.751581
-2.56552e-008 0.761544
-2.54552e-008 0.761544
-2.52552e-008 0.761544
-2.50552e-008 0.758223
-2.48552e-008 0.761544
-2.46552e-008 0.754902
-2.44552e-008 0.758223
-2.42552e-008 0.754902
-2.40552e-008 0.758223
-2.38552e-008 0.758223
-2.36552e-008 0.758223
-2.34552e-008 0.758223
-2.32552e-008 0.758223
-2.30552e-008 0.754902
-2.28552e-008 0.758223
-2.26552e-008 0.754902
-2.24552e-008 0.754902
-2.22552e-008 0.754902
-2.20552e-008 0.758223
-2.18552e-008 0.758223
-2.16552e-008 0.761544
-2.14552e-008 0.761544
-2.12552e-008 0.758223
-2.10552e-008 0.758223
-2.08552e-008 0.761544
-2.06552e-008 0.754902
-2.04552e-008 0.761544
-2.02552e-008 0.758223
-2.00552e-008 0.758223
-1.98552e-008 0.754902
-1.96552e-008 0.754902
-1.94552e-008 0.751581
-1.92552e-008 0.758223
-1.90552e-008 0.758223
-1.88552e-008 0.758223
-1.86552e-008 0.754902
-1.84552e-008 0.761544
-1.82552e-008 0.754902
-1.80552e-008 0.758223
-1.78552e-008 0.761544
-1.76552e-008 0.761544
