LECROYWS44MXs-B 69584 Waveform
Segments 1 SegmentSize 1002
Segment TrigTime TimeSinceSegment1
#1 06-Jul-2015 14:53:34 0                 
Time Ampl
-4.33187e-008 0.758223
-4.31187e-008 0.761544
-4.29187e-008 0.754902
-4.27187e-008 0.758223
-4.25187e-008 0.754902
-4.23187e-008 0.758223
-4.21187e-008 0.758223
-4.19187e-008 0.758223
-4.17187e-008 0.751581
-4.15187e-008 0.758223
-4.13187e-008 0.754902
-4.11187e-008 0.758223
-4.09187e-008 0.758223
-4.07187e-008 0.761544
-4.05187e-008 0.758223
-4.03187e-008 0.754902
-4.01187e-008 0.754902
-3.99187e-008 0.751581
-3.97187e-008 0.751581
-3.95187e-008 0.754902
-3.93187e-008 0.758223
-3.91187e-008 0.761544
-3.89187e-008 0.754902
-3.87187e-008 0.758223
-3.85187e-008 0.758223
-3.83187e-008 0.758223
-3.81187e-008 0.758223
-3.79187e-008 0.758223
-3.77187e-008 0.758223
-3.75187e-008 0.761544
-3.73187e-008 0.754902
-3.71187e-008 0.761544
-3.69187e-008 0.758223
-3.67187e-008 0.758223
-3.65187e-008 0.758223
-3.63187e-008 0.758223
-3.61187e-008 0.758223
-3.59187e-008 0.754902
-3.57187e-008 0.758223
-3.55187e-008 0.758223
-3.53187e-008 0.754902
-3.51187e-008 0.758223
-3.49187e-008 0.751581
-3.47187e-008 0.751581
-3.45187e-008 0.758223
-3.43187e-008 0.754902
-3.41187e-008 0.754902
-3.39187e-008 0.754902
-3.37187e-008 0.754902
-3.35187e-008 0.754902
-3.33187e-008 0.754902
-3.31187e-008 0.758223
-3.29187e-008 0.758223
-3.27187e-008 0.754902
-3.25187e-008 0.758223
-3.23187e-008 0.754902
-3.21187e-008 0.754902
-3.19187e-008 0.758223
-3.17187e-008 0.754902
-3.15187e-008 0.761544
-3.13187e-008 0.758223
-3.11187e-008 0.758223
-3.09187e-008 0.758223
-3.07187e-008 0.754902
-3.05187e-008 0.754902
-3.03187e-008 0.754902
-3.01187e-008 0.754902
-2.99187e-008 0.758223
-2.97187e-008 0.758223
-2.95187e-008 0.761544
-2.93187e-008 0.758223
-2.91187e-008 0.761544
-2.89187e-008 0.758223
-2.87187e-008 0.758223
-2.85187e-008 0.758223
-2.83187e-008 0.761544
-2.81187e-008 0.758223
-2.79187e-008 0.758223
-2.77187e-008 0.754902
-2.75187e-008 0.761544
-2.73187e-008 0.754902
-2.71187e-008 0.761544
-2.69187e-008 0.758223
-2.67187e-008 0.764865
-2.65187e-008 0.754902
-2.63187e-008 0.758223
-2.61187e-008 0.754902
-2.59187e-008 0.758223
-2.57187e-008 0.751581
-2.55187e-008 0.758223
-2.53187e-008 0.758223
-2.51187e-008 0.761544
-2.49187e-008 0.758223
